Código,Termo
3E-12-02-08-02-14-00,Formalete
3E-12-02-08-02-16-00,Arco abatido
3E-12-02-08-02-18-00,Arco ferradura
3E-12-02-08-02-20-00,Arco geminado
3E-12-02-08-02-22-00,Arco gótico
3E-12-02-08-02-24-00,Arco mourisco
3E-12-02-08-02-26-00,Arco pleno
3E-12-02-08-02-28-00,Arco tribolado
3E-12-02-08-02-30-00,Arco tudor
3E-12-02-08-04-00-00,Estrutura de retículas abobadadas
3E-12-04-00-00-00-00,Elementos estruturais de vetor ativo
3E-12-04-02-00-00-00,Treliça plana
3E-12-04-04-00-00-00,Treliça combinada
3E-12-04-06-00-00-00,Treliça curva
3E-12-04-08-00-00-00,Treliça espacial
3E-12-06-00-00-00-00,Elementos estruturais de seção ativa
3E-12-06-02-00-00-00,Viga
3E-12-06-02-02-00-00,Verga
3E-12-06-02-04-00-00,Contraverga
3E-12-06-04-00-00-00,Pórtico
3E-12-06-06-00-00-00,Malha de viga
3E-12-06-08-00-00-00,Laje
3E-12-08-00-00-00-00,Elementos estruturais de superfície ativa
3E-12-08-02-00-00-00,Estrutura de placas
3E-12-08-04-00-00-00,Estrutura de placas dobradas
3E-12-08-06-00-00-00,Estrutura de casca
3E-12-08-06-02-00-00,Casca de curvas simples
3E-12-08-06-04-00-00,Casca em cúpula
3E-12-08-06-06-00-00,Casca em sela
3E-12-10-00-00-00-00,Elementos estruturais de altura ativa
3E-12-10-02-00-00-00,Estrutura de transmissão vertical de cargas
3E-12-10-02-02-00-00,Pilar
3E-12-12-00-00-00-00,Elementos de acoplamento estrutural
3E-12-12-02-00-00-00,Acoplamento elástico
3E-12-12-04-00-00-00,Acoplamento flexível
3E-12-12-06-00-00-00,Acoplamento seco
3E-12-12-08-00-00-00,Acoplamento úmido
3E-12-12-10-00-00-00,Ancoragem
3E-14-00-00-00-00-00,Elementos de vedações
3E-14-02-00-00-00-00,Parede
3E-14-02-02-00-00-00,Núcleo de parede
3E-14-02-04-00-00-00,Acabamento de parede
3E-14-04-00-00-00-00,Cobertura
3E-14-04-02-00-00-00,Telhado
3E-14-04-02-02-00-00,Cumeeira
3E-14-04-02-04-00-00,Espigão
3E-14-04-02-06-00-00,Rincão
3E-14-04-02-08-00-00,Beiral
3E-14-04-02-10-00-00,Telhamento
3E-14-04-02-12-00-00,Tesoura
3E-14-04-02-14-00-00,Pontalete
3E-16-00-00-00-00-00,Elementos de acabamentos
3E-16-02-00-00-00-00,Pisos
3E-16-02-02-00-00-00,Contrapiso
3E-16-02-04-00-00-00,Revestimento de piso
3E-16-02-06-00-00-00,Soleira
3E-16-02-08-00-00-00,Pingadeira
3E-16-02-10-00-00-00,Tropicão
3E-16-04-00-00-00-00,Forros
3E-16-04-02-00-00-00,Painel de forro
3E-16-04-04-00-00-00,Pendural
3E-16-04-06-00-00-00,Junta de dilatação de forro
3E-16-04-08-00-00-00,Tabica
3E-16-06-00-00-00-00,Acabamentos de paredes
3E-16-06-02-00-00-00,Cantoneira para paredes
3E-16-06-04-00-00-00,Rodapé
3E-16-06-06-00-00-00,Rodameio
3E-16-06-08-00-00-00,Sanca
